u,v,radius,length,cx,cy
0,1,inf,92.0,,
2,3,inf,92.00543462209176,,
4,1,inf,92.78469701410896,,
3,4,inf,94.03190947758107,,
15,16,inf,654.000764525547,,
17,14,inf,661.0,,
19,20,inf,1236.003640771337,,
18,21,inf,1414.000353606745,,
23,24,inf,801.6963265476523,,
26,27,inf,181.0331461362808,,
27,54,inf,109.00458705944443,,
54,29,inf,108.0,,
29,30,inf,576.0703082089893,,
30,31,inf,249.00803199896987,,
32,10,inf,263.0931394012394,,
11,33,inf,272.88275870783775,,
34,35,inf,257.07002936943076,,
35,55,inf,491.0091648839154,,
55,36,inf,305.0,,
36,37,inf,288.17529387509956,,
4,5,202.569,330.89147027138495,537.5118212345382,564.8126937644589
5,6,93.694,92.06784693652155,539.5409590353862,455.409867917092
6,7,77.858,96.89000656913446,699.4495598967419,394.215549267506
7,5,171.573,105.70722447045924,554.2143591927162,191.42879875246564
7,8,128.66,256.08295087992576,749.1441948862101,417.60818540677815
8,9,146.433,194.74835688258628,722.9730233711712,392.4358372698648
10,8,119.575,79.76503541655482,985.0728277954149,347.1058749502847
9,11,147.63,79.36131515426239,807.4783075595932,671.586501293966
12,6,1391.435,52.50073322796826,1958.00046527123,17.999851113206375
12,13,52.765,57.98262573586691,591.4066960625107,485.01803067940034
9,12,148.886,161.5833241294987,760.9199952144911,378.76035050071636
14,9,174.285,243.1254563744635,844.3465908979655,689.1314102501344
15,13,379.701,213.89024297857128,962.9724020021494,703.4889829713537
18,16,227.783,338.70274249458026,812.3694455677987,1367.280294784807
19,17,172.161,195.94597991402114,836.4536723174667,1327.94163407081
20,22,147.697,89.8612353094728,2009.8702490026442,1643.2594364561394
23,22,135.51,253.66160110855455,2226.029544774904,1460.5830963545282
25,24,208.348,224.7488243763161,2447.9200311563413,733.4496999656903
26,25,146.183,141.98966743973156,2504.554245155988,699.8838451970796
31,32,207.842,111.39200535997556,1243.592458681389,393.2967223773986
34,33,321.082,136.3628169902882,1246.3499830382484,375.1956535879252
37,24,65.095,118.25219974969667,2584.086379130091,783.1439882045379
36,38,200.0,287.303634123503,2306.91284898879,494.0963732176508
38,55,200.0,245.63918558778624,1907.1275926917592,507.14288434798794
38,29,100.451,110.07748640895325,2006.9813681369415,509.31003121595006
54,38,100.451,119.5344878496967,2207.443872696911,501.196594604165
39,38,117.115,53.72392009874924,1997.7705076060981,542.2473811776604
47,39,117.115,72.75330280868168,1997.7704597476593,542.2473372134046
47,44,54.792,77.60776404634757,2005.8533110049668,371.55386626767387
44,45,inf,59.033888572581766,,
51,39,inf,78.10249675906654,,
51,46,inf,55.0,,
38,40,100.291,48.8551704887381,2203.506799851027,527.2895999148726
40,49,100.291,81.53658862132717,2203.506621627473,527.2897864130816
52,40,inf,82.54089895318563,,
43,52,inf,53.0,,
41,49,50.085,74.39525320213895,2213.937532580611,377.9107682764407
41,42,inf,69.0,,
