id,x,y
0,288.0,732.0
1,288.0,640.0
2,387.0,731.0
3,386.0,639.0
4,335.0,560.0
5,555.0,363.0
6,625.0,417.0
7,654.0,331.0
8,867.0,366.0
9,783.0,526.0
10,904.0,435.0
11,861.0,534.0
12,641.0,467.0
13,630.0,521.0
14,673.0,721.0
15,584.0,727.0
16,585.0,1381.0
17,673.0,1382.0
18,807.0,1595.0
19,817.0,1499.0
20,2053.0,1502.0
21,2221.0,1596.0
22,2126.0,1552.0
23,2343.0,1529.0
24,2649.0,788.0
25,2591.0,582.0
26,2456.0,562.0
27,2278.0,595.0
29,2061.0,594.0
30,1485.0,603.0
31,1236.0,601.0
32,1131.0,568.0
33,1102.0,662.0
34,1233.0,696.0
35,1490.0,690.0
36,2286.0,693.0
37,2573.0,719.0
38,2107.0,500.0
39,2077.0,456.0
40,2131.0,458.0
41,2262.0,392.0
42,2262.0,323.0
43,2158.0,327.0
44,1953.0,386.0
45,1951.0,327.0
46,2059.0,325.0
47,2012.0,426.0
49,2204.0,427.0
51,2059.0,380.0
52,2158.0,380.0
54,2169.0,594.0
55,1981.0,693.0
